country,region,period,year,month,week,date,deaths,expected_deaths,excess_deaths,excess_deaths_pct
Italy,Italy,week,2015,1,2,2015-01-09,15531,15531,0,0
Italy,Italy,week,2015,1,3,2015-01-16,15490,15664,-174,-1.110827374872315
Italy,Italy,week,2015,1,4,2015-01-23,14965,15283,-318,-2.0807433095596366
Italy,Italy,week,2015,1,5,2015-01-30,14810,14907,-97,-0.6507010129469393
Italy,Italy,week,2015,2,6,2015-02-06,15495,14834,661,4.4559795065390375
Italy,Italy,week,2015,2,7,2015-02-13,15333,14267,1066,7.4717880423354615
Italy,Italy,week,2015,2,8,2015-02-20,15133,14117,1016,7.196996529007578
Italy,Italy,week,2015,2,9,2015-02-27,14702,13788,914,6.628952712503633
Italy,Italy,week,2015,3,10,2015-03-06,14283,13842,441,3.1859557867360166
Italy,Italy,week,2015,3,11,2015-03-13,13825,13399,426,3.17934174192105
Italy,Italy,week,2015,3,12,2015-03-20,13558,13050,508,3.892720306513425
Italy,Italy,week,2015,3,13,2015-03-27,13217,12700,517,4.070866141732282
Italy,Italy,week,2015,4,14,2015-04-03,12686,12541,145,1.1562076389442666
Italy,Italy,week,2015,4,15,2015-04-10,12561,12311,250,2.0307042482332776
Italy,Italy,week,2015,4,16,2015-04-17,12872,12147,725,5.968551905820377
Italy,Italy,week,2015,4,17,2015-04-24,12227,11868,359,3.0249410178631706
Italy,Italy,week,2015,5,18,2015-05-01,11775,11663,112,0.9603018091400202
Italy,Italy,week,2015,5,19,2015-05-08,12113,11601,512,4.413412636841656
Italy,Italy,week,2015,5,20,2015-05-15,11604,11493,111,0.9658052727747162
Italy,Italy,week,2015,5,21,2015-05-22,11269,11261,8,0.07104164816624348
Italy,Italy,week,2015,5,22,2015-05-29,10754,11267,-513,-4.5531197301855
Italy,Italy,week,2015,6,23,2015-06-05,11286,11325,-39,-0.34437086092715674
Italy,Italy,week,2015,6,24,2015-06-12,11825,11401,424,3.7189720199982474
Italy,Italy,week,2015,6,25,2015-06-19,10791,11188,-397,-3.5484447622452677
Italy,Italy,week,2015,6,26,2015-06-26,10514,11090,-576,-5.1938683498647435
Italy,Italy,week,2015,7,27,2015-07-03,11274,11423,-149,-1.3043858881204642
Italy,Italy,week,2015,7,28,2015-07-10,13007,11790,1217,10.322307039864299
Italy,Italy,week,2015,7,29,2015-07-17,12824,11591,1233,10.637563626951945
Italy,Italy,week,2015,7,30,2015-07-24,14179,11678,2501,21.41633841411202
Italy,Italy,week,2015,7,31,2015-07-31,12971,11609,1362,11.732276681884741
Italy,Italy,week,2015,8,32,2015-08-07,12092,11813,279,2.3618047913315934
Italy,Italy,week,2015,8,33,2015-08-14,12148,12161,-13,-0.10689910369212896
Italy,Italy,week,2015,8,34,2015-08-21,10920,11128,-208,-1.8691588785046775
Italy,Italy,week,2015,8,35,2015-08-28,10736,10970,-234,-2.1330902461258034
Italy,Italy,week,2015,9,36,2015-09-04,11296,10992,304,2.7656477438136875
Italy,Italy,week,2015,9,37,2015-09-11,10746,10605,141,1.329561527581319
Italy,Italy,week,2015,9,38,2015-09-18,11063,10926,137,1.253889804136918
Italy,Italy,week,2015,9,39,2015-09-25,10790,10739,51,0.4749045534965859
Italy,Italy,week,2015,10,40,2015-10-02,10923,11058,-135,-1.2208355941399844
